originSize: 158823    uniqsize: 29003
SIP DIP  SP   DP    PROT     NUM: 
1721171200 100426821  50083   8000    6     1
3327711880 3327712113  27984   27384    17     15
1886896050 23484740  13304   443    6     1
1158492547 1875712474  62176   8080    17     249
1800324147 3530307825  39715   80    6     3
3597182461 602983408  51948   443    6     3
3483871261 23111478  27603   443    6     3
730555766 17630602  33907   9339    6     1
602981115 797199260  443   50924    6     3
2346623121 3530312518  5101   40144    6     1
730555782 17630602  9857   9339    6     1
3434888919 1179579036  1512   25565    17     1
2153011962 23476376  3043   443    6     1
2479484226 3530304411  17972   80    6     3
1139243341 3692795754  38618   26004    17     15
3327711880 3327712020  47536   22352    17     15
2122107340 3710835748  33774   443    6     1
3608177037 1264216447  56169   80    6     2
3692777670 724248594  2001   2001    17     8
973736207 3720603406  80   38954    6     1
1321151636 256239398  17237   123    17     14
2023937758 23111503  55960   443    6     3
730555745 16932734  42043   9339    6     1
2580875090 722847524  1132   80    6     19
474454947 23111341  9376   443    6     11
2042570847 23474805  49375   80    6     1
1709442132 724248816  52388   443    6     13
2476397520 17352083  51445   80    6     2
1712648945 721996473  62905   443    6     1
826195142 721987033  41706   80    6     11
3434168578 65971086  63372   443    6     4
3537698499 24929679  58412   80    6     3
2341638444 602983364  38735   443    6     12
1864759987 67054474  43740   80    6     1
3692777698 724248595  80   57193    6     3
1747249163 19665251  47346   443    6     3
3435162542 2439476421  62485   443    6     3
1956958429 2310458190  51273   9339    6     3
730555752 26425636  2695   9339    6     2
3757147162 3504996203  59226   443    6     13
730555775 19325884  36923   9339    6     1
1845423164 1797002352  63809   443    6     9
88766773 2579592567  7986   80    6     12
730555776 16920503  52913   9339    6     2
730555656 17573443  26344   9339    6     1
838283373 3327463654  35640   80    6     117
1247413983 734964507  57601   80    6     1
3538863207 18952156  33266   443    6     7
3435430241 1797008531  41399   443    6     8
1224847692 737993416  53321   9042    17     36
3588308496 17363307  42810   80    6     3
3354862453 300601263  80   59011    6     1
485382686 23107272  6641   443    6     4
23887077 23127558  59862   443    6     1
1224769643 2302181250  60632   1485    17     7
1753732452 3327712049  27336   47080    17     15
1875769901 2453729066  9239   58693    6     212
1311398856 1875764461  781   33625    1     1
1805944575 1797121255  48713   80    6     2
2399824261 602983381  50077   80    6     6
2151156688 23111509  5021   443    6     88
3327712508 3327712020  20308   23116    17     15
